no,date,username,tweet
879,Sun Mar 10 14:45:22 +0000 2019,DARMOGATY,RT @VIVAcoid: Sindiran TKN soal Prabowo Naik Alphard: Tak Pernah Jadi Rakyat Biasa https://t.co/HV2UnkRrPf
880,Sun Mar 10 14:45:22 +0000 2019,Bencihoak,"Nihh gambar video kok beda banget yaa warnanya..HP gue yg rusak apa gambar yg satunya itu yg Rusak..
Yg tampak, Yg… https://t.co/CkbqbtJQ5R"
881,Sun Mar 10 14:45:23 +0000 2019,IrmanMa1,"RT @Raudhatuhjannah: @prabowo Tahniah...pak @prabowo ,dimana2 kunjungan selalu petjah.
2014 di daerah saya,bapak menang.saya golput..pak.
T…"
882,Sun Mar 10 14:45:23 +0000 2019,Nurul71794530,"Sekali lagi, kita mesti jeli melihat kenyataan antara mereka berdua. Jika anda sdh melihat faktanya, pasti… https://t.co/Bi4aX1qY4Y"
883,Sun Mar 10 14:45:23 +0000 2019,rian1one,"RT @roninkhalid: Jabar untuk Prabowo Sandi.
Jateng sudah oleng.
Jatim terbelah rapi.
Sumatera bukan rumah jokowi.

Paham khan kenapa bangku…"
884,Sun Mar 10 14:45:23 +0000 2019,Alexa79key,"RT @RajaPurwa: Masa cuma bilang 

? Kau disana aku disini, aku kesana kau kesitu, kita gak pernah bersama krn gak saling follow

Lalu difol…"
885,Sun Mar 10 14:45:23 +0000 2019,DhieanaNew,"RT @UyokReborn: Jokower 1: Prabowo Kafiir..!!!
Jokower 2: Prabowo mau mendirikan negara khilafah.

Baru di jaman Jokowi ada kafir mau mendi…"
886,Sun Mar 10 14:45:24 +0000 2019,Amaliahrks,"RT @BasukiAyu: Percuma para elite punya gelar berderet tapi kepintarannya bukan untuk rakyat,"" kata Prabowo.
Memang saya tak punya gelar ta…"
887,Sun Mar 10 14:45:24 +0000 2019,werenabosek,"RT @maulinaantika02: #RakyatPilihPrabowoDanSandi 

Bang @sandiuno Sudah Tiba Di Banjarmasin Untuk Menghadiri Haul Guru Sekumpul,

Tapi Saya…"
888,Sun Mar 10 14:45:24 +0000 2019,Irsan69963540,@Valhalla_Asgard @hazpohan @prabowo @sandiuno Bisa order da bos
889,Sun Mar 10 14:45:24 +0000 2019,Wong_K4mpoeng,"RT @ekowBoy: Prabowo kuasai tanah HGU secara sah, media ribut kaya kucing kawin!!

Ini Jokowi jelas-jelas merampas tanah rakyat, ganti rugi…"
890,Sun Mar 10 14:45:26 +0000 2019,ansyar_clasiz,"RT @JamanSulit: Alhamdulillah, Aa Gym Kedatangan Sahabat Lama Pak @prabowo Subianto Di Darut Tahid Bandung. https://t.co/s0NHvj647S"
891,Sun Mar 10 14:45:26 +0000 2019,teguhbiyanto,RT @diah_soewarno: Pandainya bertanam tebu di bibir. Yakin mau dikritik? Bukannya dulu kangen didemo untuk dipuji prestasinya. Bukan didemo…
892,Sun Mar 10 14:45:27 +0000 2019,Fatur4521,"RT @RanupsProSandi: Jelas ya! @aagym teman baik sejak muda dg @prabowo karena ortu Aagym jg TNI!

Pernyataan Resmi Aa Gym Terkait Pernyataa…"
893,Sun Mar 10 14:45:27 +0000 2019,PAS086,RT @shabahate: @DoraemonLTE_PhP @Bellysetiawan92 @nanosu35 @Suparno08052468 @Vife70664464 @senapati_New @SusandraWardan1 @N0essChe @between…
894,Sun Mar 10 14:45:27 +0000 2019,SFatoni1,"RT @BasukiAyu: Subhanallah...
Seorang ibu bersujud dan kemudian pingsan memohon ganti untung  dr pemerintah saat peresmian tol dan pelabuha…"
895,Sun Mar 10 14:45:29 +0000 2019,Tetenmuhardima1,"RT @tehsusan2: Meskipun 
Kami Tak punya Media TV
Kami Tak punya Menteri
Kami Tak punya dukungan pejabat

Tapi kami Punya hati 
Tapi kami Pu…"
896,Sun Mar 10 14:45:29 +0000 2019,Vife70664464,@Wawat31971051 @Ade50881914 @doc_tetty88 @Bellysetiawan92 @usagitsukinei @betweenstars___ @fariomeda @jambreakers… https://t.co/34rPlSiIs0
897,Sun Mar 10 14:45:29 +0000 2019,monriebonjovie,"RT @UyokReborn: Jokower 1: Prabowo Kafiir..!!!
Jokower 2: Prabowo mau mendirikan negara khilafah.

Baru di jaman Jokowi ada kafir mau mendi…"
898,Sun Mar 10 14:45:30 +0000 2019,ayah_risang,"@prabowo Dr pda ngomongin demokrasi bagus kita salawatan dulu wo,,,#PRABOWOmenangFPIberkuasa"
899,Sun Mar 10 14:45:30 +0000 2019,rusfansyah76,"RT @RadioElshinta: Ucapan terima kasih Capres nomor urut 02 @prabowo atas sambutan yang luar biasa dari sahabat di Bandung, Jawa Barat. Sel…"
900,Sun Mar 10 14:45:30 +0000 2019,IrmanMa1,RT @Rusydi_riau40: @prabowo Mantap #Prabowo_Sandi_DibutuhkanRakyat https://t.co/F47v0dljpA
